<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
SBER D 220622 000000 127.88 133.21 126.03 133.11 67693510
SBER D 220623 000000 133.82 138.4 131.5 136.85 107981870
SBER D 220624 000000 137.19 138.3 135.21 137.76 45185200
SBER D 220627 000000 137.7 141.77 136.77 141.15 69806790
SBER D 220628 000000 141.76 142.35 138.5 139.99 54771750
SBER D 220629 000000 139.81 139.89 132.75 132.8 55124090
SBER D 220630 000000 132.5 135.44 123.55 125.2 91333370
SBER D 220701 000000 124.5 132 122.5 129.91 60560280
SBER D 220704 000000 129.1 132.8 127.16 131.43 47772880
SBER D 220705 000000 132 135.7 131.43 133.5 51576470
SBER D 220706 000000 133.43 137.1 132.5 134 47025990
SBER D 220707 000000 134.1 135.2 131.22 133.09 42980870
SBER D 220708 000000 133.16 133.98 130.9 133.3 27594700
SBER D 220711 000000 132.75 133.9 126.42 126.8 53657260
SBER D 220712 000000 126.6 129.35 124.2 129 57174340
SBER D 220713 000000 129.6 129.95 125.36 126 45871190
SBER D 220714 000000 125.95 128 124.61 125.9 41631700
SBER D 220715 000000 126.2 129.44 125.27 128.9 44919840
SBER D 220718 000000 130 130.64 127.25 128.11 35315600
SBER D 220719 000000 128 128.11 125.51 127.76 32335000
SBER D 220720 000000 128.12 129.2 126.16 126.44 34673960
SBER D 220721 000000 126.4 126.83 122.24 125.48 53582090
SBER D 220722 000000 125.52 129.1 125.03 128.82 46422190
SBER D 220725 000000 128.93 132 127.24 131.45 55831830
SBER D 220726 000000 132.04 133.9 131 132.9 50300050
SBER D 220727 000000 132.9 134.79 131.62 132.5 42456260
SBER D 220728 000000 133.01 133.49 130.1 131.72 40042950
SBER D 220729 000000 131.69 132.75 130.31 131.9 27767320
SBER D 220801 000000 131.77 131.77 127.34 127.34 44231460
SBER D 220802 000000 126.6 128.44 125.6 127.53 43884150
SBER D 220803 000000 128.06 129.15 126.27 126.85 30874750
SBER D 220804 000000 126.94 128.13 126.16 126.95 19529260
SBER D 220805 000000 127.5 127.58 122.24 122.4 61105370
SBER D 220808 000000 126.14 127.38 123.51 123.81 52606720
SBER D 220809 000000 123.9 126.5 122.3 126.4 37895140
SBER D 220810 000000 126.25 127.29 124.87 126.2 31865110
SBER D 220811 000000 126.88 126.97 123.07 123.45 30717890
SBER D 220812 000000 123.48 124.98 122.6 124.88 27133850
SBER D 220815 000000 124.6 125.7 123.28 125 25301550
SBER D 220816 000000 125.17 126.86 124.53 126.39 27210450
SBER D 220817 000000 126.57 127.44 124.5 124.5 32862470
SBER D 220818 000000 124.39 126.5 123.92 126.3 25365910
SBER D 220819 000000 126.35 126.36 124.72 125.2 18581110
SBER D 220822 000000 125.08 126.69 124.7 126.06 24420350
SBER D 220823 000000 126.06 130.49 126.01 130.38 65383170
SBER D 220824 000000 130.6 131.64 127.85 128.15 45722080
SBER D 220825 000000 128.18 129.81 127.1 128.18 35847360
SBER D 220826 000000 128.14 130.5 127.62 130.4 32857860
SBER D 220829 000000 130.12 131.4 129.52 131.17 40725660
SBER D 220830 000000 131.2 132.6 129.65 130.05 50972000
SBER D 220831 000000 132.3 138.34 131.5 134.25 106571380
SBER D 220901 000000 133.98 138.22 132.02 138.2 54786340
SBER D 220902 000000 138.75 144.9 136.22 143.8 136591640
SBER D 220905 000000 143.48 145.1 139.11 141 87387950
SBER D 220906 000000 140.9 141.07 135.22 137.23 86562180
SBER D 220907 000000 136.96 139.19 135.41 136.86 60616830
SBER D 220908 000000 136.68 137.4 134 134.51 57655660
SBER D 220909 000000 134.45 138.47 134.23 138.15 48925660
SBER D 220912 000000 137.12 140.37 136.8 138.7 52455460
SBER D 220913 000000 138.71 139.37 136.15 137 44533690
SBER D 220914 000000 136.7 139.29 135.2 138.9 62768230
SBER D 220915 000000 139.15 140.28 137.61 139.48 56215930
SBER D 220916 000000 139.38 141.39 136.8 137.73 71732740
SBER D 220919 000000 137.45 139.08 137.07 138.04 33202580
SBER D 220920 000000 137.86 138.35 122.42 125.1 208908480
SBER D 220921 000000 112.5 123.98 109.27 120.23 134746110
SBER D 220922 000000 120.35 126.95 120.35 124.31 117343820
SBER D 220923 000000 124.45 124.5 117.35 119.39 85382140
SBER D 220926 000000 114.99 117.99 105 107.06 147877290
SBER D 220927 000000 110 113.89 107.07 112.92 90733010
SBER D 220928 000000 112 115.2 109.13 111.06 77869660
SBER D 220929 000000 111.59 112.2 107.68 110.41 67451840
SBER D 220930 000000 110.9 113.4 103.4 110.21 133531450
SBER D 221003 000000 110.67 114.65 109 114.35 73873990
SBER D 221004 000000 115.05 115.5 110.3 110.55 83422320
SBER D 221005 000000 110.46 110.49 106.25 108.51 90327920
SBER D 221006 000000 108.65 110.38 107.57 108.24 51634990
SBER D 221007 000000 107.72 108.48 101.3 101.5 90940030
SBER D 221010 000000 96.55 106.77 96.5 106.71 116896490
SBER D 221011 000000 106.55 108.3 104.26 107.72 76867120
SBER D 221012 000000 108.27 108.5 105.25 105.9 63331750
SBER D 221013 000000 105.7 107.3 104.8 106.5 46813160
SBER D 221014 000000 106.93 109.19 105.69 107.78 52538120
SBER D 221017 000000 107.99 112.76 107.65 112.44 78420110
SBER D 221018 000000 113.05 114.37 110.48 110.88 101627180
SBER D 221019 000000 110.2 112.93 109.3 112.39 90574840
SBER D 221020 000000 112.76 117.2 112.37 116.98 100612540
SBER D 221021 000000 116.93 119.94 114.37 119.45 102297020
SBER D 221024 000000 120.15 121.68 117.65 118.8 74327210
SBER D 221025 000000 118.86 125.2 118.3 124.36 114126120
SBER D 221026 000000 124.71 126.88 122.1 124.43 108350490
SBER D 221027 000000 124.75 127.5 123.68 126.61 87825200
SBER D 221028 000000 126.13 127.25 124.6 126.97 73494940
SBER D 221031 000000 127.2 128.6 125.41 126.72 60649080
SBER D 221101 000000 127.23 127.97 126.12 127.05 36720430
SBER D 221102 000000 127.05 127.74 123.75 125.49 40156380
SBER D 221103 000000 125.39 126.1 123.91 125.75 47535720
SBER D 221107 000000 127.02 132 126.5 132 91496790
SBER D 221108 000000 131.99 133.11 130.1 131.29 69371580
SBER D 221109 000000 131.06 131.47 126.42 127.3 64832870
SBER D 221110 000000 131.02 136.69 129.77 136.68 170890500
SBER D 221111 000000 137.71 138.42 135.13 136.98 75278900
SBER D 221114 000000 137.41 140.7 135.83 139.8 82383460
SBER D 221115 000000 140.4 141 130.86 135.66 145273030
SBER D 221116 000000 136.99 139.73 136.32 139.18 66816110
SBER D 221117 000000 139.11 140.35 136.6 137.57 59085810
SBER D 221118 000000 137.1 137.81 135.84 136.89 44009880
SBER D 221121 000000 136.01 136.3 132.51 134.46 83395500
SBER D 221122 000000 134.55 136 133.81 135.65 45774100
SBER D 221123 000000 135.7 137.55 134.5 136.59 52259060
SBER D 221124 000000 137 138.41 136.12 136.61 42319840
SBER D 221125 000000 137.2 137.24 135.41 136.53 29248180
SBER D 221128 000000 135.01 136.2 134.1 135.53 45047440
SBER D 221129 000000 136.29 137.2 135.88 136.37 31503750
SBER D 221130 000000 136.51 136.78 135.23 136.78 26797760
SBER D 221201 000000 137.11 137.95 136.31 137.15 32859350
SBER D 221202 000000 136.98 137.1 136.17 136.66 19212600
SBER D 221205 000000 136.66 142.68 136.25 142 103887240
SBER D 221206 000000 142.2 143.37 139.11 140.61 51734090
SBER D 221207 000000 140.5 142.81 138.36 142.32 69817930
SBER D 221208 000000 143.5 143.6 139.8 139.92 63554380
SBER D 221209 000000 139.7 140.7 139.24 140.03 29390220
SBER D 221212 000000 140.19 140.87 138.7 139.48 33347970
SBER D 221213 000000 139.65 139.93 136.67 138.13 52159500
SBER D 221214 000000 138.25 138.25 136.6 137.3 34031240
SBER D 221215 000000 136.97 137.08 134.3 134.55 54698540
SBER D 221216 000000 134.5 136.09 134.13 135.45 32731270
SBER D 221219 000000 135.13 136.73 132.86 134.64 58784640
SBER D 221220 000000 134.51 138.4 134.41 138.28 44987710
SBER D 221221 000000 138.7 139.12 135.81 137.75 45361520
SBER D 221222 000000 137.99 138.97 137 137.69 30488490
SBER D 221223 000000 137.49 138.26 136.81 137.94 22816280
SBER D 221226 000000 138.34 141 138 140.95 49323760
SBER D 221227 000000 141.31 142 139.6 139.9 41507480
SBER D 221228 000000 139.79 140.4 138.6 139.51 27937090
SBER D 221229 000000 139.5 141.65 139.22 140.96 32029570
SBER D 221230 000000 140.84 141.48 140.13 141.15 28072880
SBER D 230103 000000 141.6 143.25 141.56 141.78 21027110
SBER D 230104 000000 141.84 142.28 140.75 141.43 17094250
SBER D 230105 000000 141.6 141.84 140.54 141.27 17236330
SBER D 230106 000000 141.35 141.62 140.9 141.4 10647380
SBER D 230109 000000 141.84 142.99 141.65 142.4 31314900
SBER D 230110 000000 142.11 142.85 141.31 142.81 23691190
SBER D 230111 000000 142.97 149.98 142.87 149.96 123046960
SBER D 230112 000000 150.05 150.79 148.39 149.3 46557290
SBER D 230113 000000 149.57 153.28 147.71 151.69 88460580
SBER D 230116 000000 152.85 154 151.88 153.71 51527810
SBER D 230117 000000 153.97 154.31 150.01 150.45 84226560
SBER D 230118 000000 150.4 153 149.41 151.47 67364580
SBER D 230119 000000 151.2 152.85 148.56 149.34 66640910
SBER D 230120 000000 149.7 151.4 148.64 151.38 44165570
SBER D 230123 000000 151.9 154.1 151.01 153.5 55100140
SBER D 230124 000000 153.94 155.58 152.28 152.66 78662030
SBER D 230125 000000 152.45 153.6 151.5 152.81 43317800
