<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;D;200513;000000;350.2;353.15;345.85;348;8898600
ROSN;D;200514;000000;346.4;349.95;344.55;347.15;8913890
ROSN;D;200515;000000;351.5;354.75;349.35;350.05;9500640
ROSN;D;200518;000000;357.25;375.95;355.65;375.05;19830000
ROSN;D;200519;000000;376.2;383.5;371.55;376.5;18924980
ROSN;D;200520;000000;374;384.45;373.25;380.25;14708980
ROSN;D;200521;000000;378.85;383.35;364.4;367;20865440
ROSN;D;200522;000000;359.7;365.9;358.1;364.5;13719580
ROSN;D;200525;000000;366.5;374;366.5;373.95;5281900
ROSN;D;200526;000000;377.8;380.9;374.4;374.4;10544440
ROSN;D;200527;000000;374.05;380;366.35;374.9;12178980
ROSN;D;200528;000000;376.75;378.2;372.5;377.45;7316850
ROSN;D;200529;000000;374.85;376.35;370.4;376.2;10691660
ROSN;D;200601;000000;380;387;376.35;378.7;8309570
ROSN;D;200602;000000;380.9;387;379.8;387;13073440
ROSN;D;200603;000000;390.2;397.6;388.4;396.95;13886280
ROSN;D;200604;000000;396.95;397.3;387.65;390.05;8801280
ROSN;D;200605;000000;394.2;402;393;401.95;11584640
ROSN;D;200608;000000;407;408.25;395;400.15;12606270
ROSN;D;200609;000000;402.15;403.9;394.3;402;10105280
ROSN;D;200610;000000;401.6;403.75;397.25;400.3;8809330
ROSN;D;200611;000000;382.8;382.9;370.5;376.1;15430710
ROSN;D;200615;000000;368.55;369.05;359.55;366.15;12086540
ROSN;D;200616;000000;372.15;376.8;370.25;371.4;9164100
ROSN;D;200617;000000;372.9;376.85;371.05;371.75;6430580
ROSN;D;200618;000000;371.65;374.5;369.25;373.65;5305690
ROSN;D;200619;000000;376.15;378.8;373.7;376.15;7032170
ROSN;D;200622;000000;374.55;379;370.5;375.65;5857780
ROSN;D;200623;000000;376.85;377.75;372.5;373.6;4246480
ROSN;D;200625;000000;366.8;372;362.2;371.5;9231090
ROSN;D;200626;000000;372.95;372.95;366;367.05;3584380
ROSN;D;200629;000000;365.95;367.45;361.7;365.5;4323120
ROSN;D;200630;000000;365.5;366.2;359.5;361.8;4136850
ROSN;D;200702;000000;364.1;367.8;362.5;366.05;3681850
ROSN;D;200703;000000;366.65;368.2;362.95;365.35;3345330
ROSN;D;200706;000000;367.85;373.65;367;368.8;5164220
ROSN;D;200707;000000;366;368.8;364.55;365.85;3424680
ROSN;D;200708;000000;366.35;366.8;362.75;366.15;2848480
ROSN;D;200709;000000;366.85;367.45;360.65;364.25;3938460
ROSN;D;200710;000000;361.4;364.5;356.8;364;4238130
ROSN;D;200713;000000;365.8;367.4;354.3;354.95;4992760
ROSN;D;200714;000000;355.9;355.9;349.05;355;7403290
ROSN;D;200715;000000;355.7;362.95;353.35;358.45;8342140
ROSN;D;200716;000000;356.95;361.45;355.85;361.1;2849150
ROSN;D;200717;000000;360.7;362.25;358.35;359.85;2148690
ROSN;D;200720;000000;359.35;361.65;355.9;361.35;3789860
ROSN;D;200721;000000;362.6;367.75;362.2;364.45;5274330
ROSN;D;200722;000000;364.05;366.8;362.2;364.7;3385610
ROSN;D;200723;000000;366.2;366.55;358.1;360;3207020
ROSN;D;200724;000000;358.2;360.7;357.4;359.75;4467990
ROSN;D;200727;000000;360.25;361;356.3;358.25;4474730
ROSN;D;200728;000000;358.85;359.3;355;355.4;4089570
ROSN;D;200729;000000;356;360.4;355.45;360.4;5483200
ROSN;D;200730;000000;359.3;359.6;352.6;355.85;5643870
ROSN;D;200731;000000;356.45;358.2;353.5;356.9;4013630
ROSN;D;200803;000000;356;358.35;355.25;356.45;3727140
ROSN;D;200804;000000;356.55;360.7;355;359.8;4723340
ROSN;D;200805;000000;361;365.6;359;364.5;7939910
ROSN;D;200806;000000;365.05;374.85;362.45;369;6132800
ROSN;D;200807;000000;367.85;370.5;365.2;367.15;4822140
ROSN;D;200810;000000;367.95;370.95;366.6;368.25;3340780
ROSN;D;200811;000000;369;371.85;366.7;367.2;6198430
ROSN;D;200812;000000;368.95;379.05;368.55;377.85;7422770
ROSN;D;200813;000000;378.1;389.7;376;387.3;10575180
ROSN;D;200814;000000;387.9;390;382.65;387.95;6085500
ROSN;D;200817;000000;389.35;393.1;383.2;389.55;6536810
ROSN;D;200818;000000;387.95;394.3;386.15;391.85;5597370
ROSN;D;200819;000000;392.25;393.25;385.4;388.5;3868620
ROSN;D;200820;000000;385.1;386.3;379.1;381.6;5233000
ROSN;D;200821;000000;382.1;386.2;377.6;382.8;4098640
ROSN;D;200824;000000;384.55;388.7;383.25;388.65;3239960
ROSN;D;200825;000000;389.65;393.45;386.7;392.8;5954900
ROSN;D;200826;000000;393.05;398.5;391.9;397.5;5658370
ROSN;D;200827;000000;397.5;399;388.3;389.65;3885600
ROSN;D;200828;000000;389.9;391.2;378.8;380.65;3495160
ROSN;D;200831;000000;382.4;385;371.25;373.2;7511950
ROSN;D;200901;000000;375;375.45;369.8;373.9;3555430
ROSN;D;200902;000000;374.45;377.5;367.3;371.5;4524990
ROSN;D;200903;000000;371;372.35;363.3;366.2;4802920
